,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,popular,MetroStation
2051,12,0,2,0,0,0,31.27276,121.49852,9,17,58935342,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,12,0,3,0,0,0,31.07044,121.31624,17,17,58981461,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,13,0,1,0,0,0,0,0,6,17,58983933,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,8,0,3,0,0,0,31.2281,121.48292,15,11,59016445,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,12,0,2,0,0,0,0,0,7,17,59026189,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,12,0,1,0,0,0,31.20693,121.66297,6,9,59027498,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,12,0,3,0,0,0,31.23052,121.44218,11,17,59034536,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,9,0,2,0,0,0,0,0,7,17,59039024,0,0,0,0,0,0,0,0,0,1,0,0,0
2059,12,0,3,0,0,0,0,0,1,17,59042780,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,12,0,3,0,0,0,31.33314,121.43955,2,17,59057545,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,12,0,3,0,0,0,31.01597,121.25571,17,17,59061177,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,12,0,3,0,0,0,31.01972,121.23984,17,17,59063139,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,13,0,3,0,0,0,31.15163,121.3923,12,17,59065706,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,12,0,2,0,0,0,31.20087,121.22406,8,17,59074225,0,0,0,0,0,0,0,0,0,1,0,0,0
2065,11,0,1,0,0,0,31.21203,121.3938,5,17,59086492,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,13,0,3,0,0,0,31.09896,121.34551,17,17,59088520,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,12,0,3,0,0,0,0,0,17,17,59090120,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,12,0,2,0,0,0,31.19541,121.44015,7,1,59090532,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,12,0,3,0,0,0,31.2546,121.52061,16,17,59093768,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,12,0,2,0,0,0,31.18394,121.42767,7,17,59093777,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,12,0,3,0,0,0,31.38038,121.50152,2,17,59099782,0,0,0,0,0,0,0,0,0,0,0,0,0
